age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
23,fit,mostly anything,socially,never,graduated from college/university,white,68,-1,banking / financial / real estate,,straight,likes dogs and likes cats,,m,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single
33,used up,strictly anything,socially,never,graduated from law school,asian,62,-1,law / legal services,"doesn&rsquo;t have kids, but wants them",straight,has dogs,other and laughing about it,f,libra,no,english,single
29,thin,,socially,never,graduated from college/university,,73,-1,education / academia,,straight,likes cats,,m,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), french (fluently)",single
36,fit,mostly anything,socially,never,graduated from masters program,"hispanic / latin, white",69,-1,education / academia,wants kids,straight,likes dogs,other,f,libra and it&rsquo;s fun to think about,no,"english, spanish",single
67,fit,anything,socially,never,graduated from masters program,white,66,-1,other,has kids,straight,likes dogs and likes cats,,f,,no,"english, spanish (fluently), italian (okay), portuguese (poorly)",single
20,average,strictly vegetarian,socially,often,working on college/university,white,68,-1,student,,straight,has dogs and has cats,,f,sagittarius and it&rsquo;s fun to think about,yes,english,single
25,fit,,socially,sometimes,,white,72,-1,medicine / health,,straight,,,m,,no,english,single
41,average,mostly anything,,never,graduated from two-year college,white,71,70000,other,"has a kid, and might want more",straight,,,m,aries and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single
46,average,mostly anything,not at all,never,,white,76,-1,hospitality / travel,doesn&rsquo;t have kids,straight,,other but not too serious about it,m,scorpio and it&rsquo;s fun to think about,no,english (fluently),single
30,athletic,mostly anything,socially,never,graduated from space camp,"asian, white",69,-1,hospitality / travel,,straight,has dogs,,m,sagittarius and it&rsquo;s fun to think about,no,"english, vietnamese, spanish, japanese",single
27,average,strictly anything,socially,,space camp,"asian, white",70,-1,sales / marketing / biz dev,,straight,likes dogs and likes cats,atheism,m,scorpio and it&rsquo;s fun to think about,sometimes,"english (fluently), korean (okay)",single
27,athletic,mostly other,,,graduated from masters program,white,69,-1,sales / marketing / biz dev,wants kids,straight,likes dogs and has cats,atheism but not too serious about it,f,capricorn but it doesn&rsquo;t matter,no,english (fluently),single
31,fit,,socially,,graduated from college/university,white,64,-1,artistic / musical / writer,,straight,,,f,taurus,no,"english (fluently), spanish (okay)",single
31,average,,often,never,graduated from college/university,white,68,100000,sales / marketing / biz dev,,straight,likes dogs and dislikes cats,agnosticism,m,,no,english,single
24,a little extra,,rarely,never,working on college/university,other,74,-1,other,doesn&rsquo;t have kids,straight,,christianity,m,scorpio,no,"english (fluently), greek (poorly), spanish (poorly)",single
27,athletic,mostly anything,,never,,,67,-1,computer / hardware / software,,straight,,agnosticism but not too serious about it,m,gemini and it&rsquo;s fun to think about,no,"english (fluently), tamil (fluently), hindi (okay), german (okay)",single
22,athletic,mostly anything,socially,never,working on college/university,asian,64,-1,computer / hardware / software,doesn&rsquo;t have kids,straight,likes dogs and dislikes cats,agnosticism but not too serious about it,m,libra but it doesn&rsquo;t matter,no,"english (fluently), tagalog (poorly)",single
27,fit,vegetarian,socially,never,working on masters program,indian,69,-1,student,,straight,,agnosticism but not too serious about it,m,,no,"english (fluently), hindi (fluently), other (fluently)",single
34,athletic,,,never,,white,74,-1,,,straight,,,m,,,english,single
29,athletic,,socially,sometimes,working on college/university,asian,71,20000,student,,straight,likes dogs and likes cats,,m,aquarius and it&rsquo;s fun to think about,when drinking,"english (fluently), korean (poorly)",single
40,athletic,mostly anything,socially,,working on college/university,white,70,-1,medicine / health,,straight,likes dogs and likes cats,atheism and somewhat serious about it,m,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), sanskrit (okay), other (fluently)",single
36,average,mostly anything,rarely,never,graduated from two-year college,white,65,-1,construction / craftsmanship,"doesn&rsquo;t have kids, but wants them",straight,has dogs and likes cats,,m,pisces but it doesn&rsquo;t matter,no,english (fluently),single
32,overweight,mostly anything,socially,never,graduated from college/university,asian,69,-1,computer / hardware / software,,straight,likes dogs and likes cats,christianity but not too serious about it,m,pisces and it&rsquo;s fun to think about,no,english,single
28,average,strictly anything,socially,,graduated from masters program,white,67,-1,computer / hardware / software,,straight,likes dogs and likes cats,buddhism and laughing about it,m,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), german (poorly), japanese (poorly), spanish (poorly)",single
34,average,,socially,never,working on college/university,hispanic / latin,66,20000,other,,straight,likes dogs,christianity but not too serious about it,m,virgo but it doesn&rsquo;t matter,no,"english (okay), spanish (fluently)",single
41,athletic,,socially,never,graduated from masters program,white,70,-1,executive / management,doesn&rsquo;t want kids,gay,likes dogs and likes cats,,m,virgo but it doesn&rsquo;t matter,no,english (fluently),single
25,fit,mostly vegetarian,often,sometimes,graduated from college/university,white,62,-1,sales / marketing / biz dev,,straight,likes dogs,agnosticism,f,leo,no,english,single
31,,,socially,never,working on college/university,white,71,-1,clerical / administrative,,straight,likes dogs and likes cats,agnosticism but not too serious about it,m,capricorn and it&rsquo;s fun to think about,no,english,single
30,fit,mostly anything,socially,never,graduated from masters program,white,70,-1,other,,gay,likes dogs,,m,taurus and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay), czech (poorly)",single
26,average,mostly anything,socially,never,graduated from college/university,asian,71,-1,science / tech / engineering,doesn&rsquo;t want kids,straight,has dogs,christianity,m,cancer but it doesn&rsquo;t matter,no,"english (fluently), korean (fluently)",single
24,,mostly anything,socially,,graduated from college/university,,70,-1,education / academia,,straight,likes dogs and likes cats,judaism but not too serious about it,m,leo and it&rsquo;s fun to think about,no,english (fluently),single
33,average,mostly anything,socially,never,graduated from ph.d program,white,70,-1,science / tech / engineering,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,atheism and laughing about it,m,capricorn but it doesn&rsquo;t matter,no,"english (fluently), swedish (fluently), icelandic (fluently), german (poorly)",seeing someone
24,average,,often,never,,,68,-1,,,straight,,,m,aquarius,,english,single
39,fit,,socially,never,,white,67,-1,,,straight,,,m,,no,"english, spanish",single
39,fit,,socially,never,graduated from college/university,white,69,-1,transportation,,straight,likes dogs and likes cats,agnosticism,m,,no,"english (fluently), spanish (poorly)",single
26,athletic,mostly anything,socially,,graduated from two-year college,asian,67,-1,science / tech / engineering,,straight,has dogs,buddhism but not too serious about it,m,pisces and it&rsquo;s fun to think about,sometimes,english,single
35,thin,mostly anything,socially,never,,"hispanic / latin, white",65,-1,artistic / musical / writer,,straight,likes dogs and has cats,,f,,no,english,single
36,fit,mostly anything,socially,never,graduated from college/university,white,70,20000,artistic / musical / writer,,straight,likes dogs and dislikes cats,islam and laughing about it,m,scorpio but it doesn&rsquo;t matter,no,"english (okay), persian (fluently), turkish (okay)",single
45,fit,mostly anything,socially,never,graduated from college/university,white,73,150000,executive / management,"doesn&rsquo;t have kids, but might want them",straight,likes dogs,judaism but not too serious about it,m,aquarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single
27,athletic,,socially,never,graduated from masters program,,69,-1,executive / management,,straight,likes dogs,,m,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), hindi (fluently)",single
32,fit,mostly anything,socially,,graduated from college/university,white,70,-1,entertainment / media,doesn&rsquo;t have kids,straight,,,m,aries but it doesn&rsquo;t matter,no,english,single
49,fit,mostly anything,not at all,,working on space camp,white,64,20000,medicine / health,,gay,likes dogs and likes cats,other but not too serious about it,f,leo and it&rsquo;s fun to think about,,"english (poorly), yiddish",single
30,athletic,,socially,,graduated from masters program,white,74,-1,,,straight,likes dogs and dislikes cats,,m,sagittarius,no,"english (fluently), spanish (poorly)",single
44,average,,very often,,graduated from college/university,white,71,-1,science / tech / engineering,doesn&rsquo;t want kids,gay,,atheism but not too serious about it,m,gemini but it doesn&rsquo;t matter,no,english,single
26,athletic,mostly anything,socially,never,working on ph.d program,white,74,-1,student,,straight,,,m,leo and it&rsquo;s fun to think about,no,"english, german (poorly)",single
39,athletic,,socially,never,graduated from masters program,"middle eastern, white",68,-1,construction / craftsmanship,,straight,likes dogs and has cats,other and laughing about it,m,scorpio and it&rsquo;s fun to think about,when drinking,"english (fluently), farsi (fluently), spanish (poorly), french (poorly)",single
26,average,,socially,never,,"asian, hispanic / latin",69,-1,computer / hardware / software,has a kid,straight,likes dogs,,m,,sometimes,english,single
28,athletic,mostly other,socially,never,graduated from masters program,white,72,-1,other,,straight,likes dogs and likes cats,other and very serious about it,m,cancer but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single
27,fit,,socially,never,working on college/university,other,69,-1,computer / hardware / software,"doesn&rsquo;t have kids, but might want them",straight,,christianity but not too serious about it,m,,no,"english, french",single
35,a little extra,other,rarely,,graduated from high school,black,75,-1,medicine / health,,straight,likes dogs and likes cats,,m,gemini and it&rsquo;s fun to think about,no,english (fluently),single
23,a little extra,anything,socially,never,,hispanic / latin,69,-1,,,straight,,,m,,no,"english, spanish",single
55,average,mostly anything,rarely,sometimes,graduated from two-year college,white,73,-1,artistic / musical / writer,has a kid,straight,likes dogs and likes cats,other and very serious about it,m,capricorn and it&rsquo;s fun to think about,no,english,single
42,,,socially,,dropped out of ph.d program,"asian, white, other",72,-1,computer / hardware / software,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,,m,sagittarius and it&rsquo;s fun to think about,no,"english (fluently), japanese (fluently), spanish (okay), french (poorly), german (poorly)",single
28,athletic,,socially,never,graduated from college/university,"asian, pacific islander",66,-1,computer / hardware / software,,straight,,,m,gemini,no,"english (fluently), chinese (okay)",single
53,,,socially,,graduated from masters program,white,67,-1,medicine / health,has a kid,straight,likes dogs and likes cats,other but not too serious about it,m,sagittarius and it&rsquo;s fun to think about,no,english,single
38,athletic,mostly vegetarian,socially,never,graduated from college/university,white,70,100000,banking / financial / real estate,"doesn&rsquo;t have kids, but might want them",gay,likes dogs and has cats,agnosticism,f,cancer and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single
33,curvy,,,never,graduated from masters program,,67,-1,,,straight,,,f,,,"english (fluently), spanish (fluently)",single
25,athletic,mostly vegetarian,socially,never,graduated from college/university,indian,69,80000,banking / financial / real estate,,straight,,hinduism but not too serious about it,m,scorpio,sometimes,english (fluently),single
26,average,mostly anything,socially,never,graduated from med school,white,67,-1,medicine / health,,gay,,agnosticism and laughing about it,m,aquarius and it&rsquo;s fun to think about,no,english,single
25,athletic,,rarely,never,graduated from college/university,white,70,20000,medicine / health,,straight,likes dogs and likes cats,agnosticism but not too serious about it,m,capricorn and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single
51,athletic,mostly anything,socially,never,graduated from college/university,,64,-1,,has kids,straight,has dogs,,f,sagittarius and it&rsquo;s fun to think about,no,english,single
32,curvy,mostly anything,socially,never,working on college/university,black,65,-1,executive / management,,straight,likes dogs and dislikes cats,christianity,f,virgo,trying to quit,english,single
41,fit,,socially,never,graduated from college/university,white,68,50000,education / academia,has kids,straight,,,m,sagittarius,no,"english, spanish, italian",single
26,skinny,strictly anything,often,never,graduated from college/university,,68,-1,student,"doesn&rsquo;t have kids, but might want them",straight,,,m,,sometimes,english,single
24,athletic,anything,socially,never,graduated from college/university,white,70,-1,science / tech / engineering,,straight,likes dogs,other and very serious about it,m,gemini,no,english,single
34,fit,mostly anything,rarely,never,graduated from masters program,asian,64,-1,artistic / musical / writer,,straight,likes dogs and has cats,agnosticism and very serious about it,f,scorpio and it&rsquo;s fun to think about,sometimes,"english (fluently), chinese (fluently)",single
29,average,mostly anything,socially,never,graduated from masters program,indian,67,-1,computer / hardware / software,,straight,,atheism,m,aries,no,"english (fluently), hindi (fluently)",single
25,athletic,mostly anything,socially,sometimes,,white,72,20000,construction / craftsmanship,,bisexual,likes dogs and likes cats,agnosticism and laughing about it,m,capricorn and it&rsquo;s fun to think about,yes,english,available
27,average,strictly anything,socially,sometimes,graduated from college/university,white,70,80000,computer / hardware / software,,straight,has dogs,judaism but not too serious about it,m,scorpio but it doesn&rsquo;t matter,no,english,single
28,athletic,mostly anything,socially,,graduated from masters program,white,71,100000,sales / marketing / biz dev,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and dislikes cats,atheism but not too serious about it,m,virgo but it doesn&rsquo;t matter,no,english (fluently),single
44,fit,mostly anything,rarely,never,graduated from college/university,white,70,-1,artistic / musical / writer,,gay,likes dogs and has cats,other,m,cancer but it doesn&rsquo;t matter,no,"english (fluently), german (fluently), french (poorly)",single
23,fit,anything,often,sometimes,working on ph.d program,white,71,-1,science / tech / engineering,doesn&rsquo;t have kids,straight,likes dogs,,m,,no,english (fluently),single
37,,,socially,,graduated from college/university,white,68,50000,computer / hardware / software,,gay,,judaism but not too serious about it,m,aries but it doesn&rsquo;t matter,no,english,single
48,fit,mostly vegetarian,socially,never,graduated from college/university,white,72,-1,other,has a kid,straight,has dogs and has cats,other,f,pisces and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",seeing someone
23,average,anything,socially,never,graduated from college/university,white,68,-1,computer / hardware / software,,straight,likes dogs and likes cats,agnosticism,m,leo but it doesn&rsquo;t matter,no,english,single
43,athletic,,rarely,sometimes,graduated from masters program,white,72,-1,executive / management,doesn&rsquo;t want kids,gay,likes dogs and has cats,agnosticism and laughing about it,m,aries and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",single
26,athletic,strictly other,rarely,never,working on college/university,white,66,20000,entertainment / media,wants kids,straight,has dogs,agnosticism but not too serious about it,m,scorpio and it&rsquo;s fun to think about,no,"english (fluently), japanese (okay), korean (poorly), german (poorly)",single
45,fit,mostly anything,socially,,graduated from masters program,white,71,-1,construction / craftsmanship,,gay,has dogs and likes cats,,m,taurus and it&rsquo;s fun to think about,no,english (okay),single
28,used up,vegan,socially,never,graduated from college/university,white,72,40000,other,,straight,likes dogs and has cats,atheism,m,aquarius,no,english,single
27,thin,,often,never,graduated from law school,white,66,-1,law / legal services,,straight,likes dogs and dislikes cats,atheism but not too serious about it,f,sagittarius but it doesn&rsquo;t matter,no,english,single
32,average,mostly anything,socially,never,graduated from college/university,white,63,-1,executive / management,,straight,likes dogs and likes cats,,m,aquarius but it doesn&rsquo;t matter,no,english,single
24,fit,,socially,never,masters program,asian,69,-1,artistic / musical / writer,,straight,has dogs,,m,,yes,"english (okay), chinese (fluently), japanese (okay)",single
24,average,strictly anything,socially,sometimes,graduated from college/university,white,65,60000,medicine / health,"doesn&rsquo;t have kids, but wants them",straight,likes dogs and likes cats,,f,leo and it&rsquo;s fun to think about,,"english (fluently), spanish (fluently)",single
29,average,mostly anything,often,,graduated from college/university,white,71,-1,sales / marketing / biz dev,"doesn&rsquo;t have kids, but wants them",straight,likes dogs,,m,pisces but it doesn&rsquo;t matter,sometimes,english,single
24,average,mostly vegetarian,,,graduated from college/university,white,65,-1,,,straight,,,f,,,"english, french (fluently), spanish (fluently)",single
28,average,anything,often,never,graduated from college/university,white,63,30000,education / academia,doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism,f,aquarius,no,"english, german",single
23,athletic,mostly anything,often,sometimes,graduated from college/university,white,73,-1,artistic / musical / writer,,straight,likes dogs and likes cats,,m,pisces and it&rsquo;s fun to think about,,english,single
23,average,mostly anything,socially,sometimes,graduated from college/university,white,65,-1,entertainment / media,,straight,,,f,cancer and it&rsquo;s fun to think about,no,english,single
36,fit,,socially,,graduated from masters program,white,63,-1,medicine / health,might want kids,straight,,other,f,aquarius,no,english,single
51,thin,mostly anything,socially,never,graduated from college/university,white,71,-1,artistic / musical / writer,"has kids, but doesn&rsquo;t want more",straight,likes dogs and likes cats,buddhism and laughing about it,f,,no,english,single
27,curvy,,socially,never,graduated from masters program,white,60,-1,sales / marketing / biz dev,,straight,has dogs,atheism and somewhat serious about it,f,,no,english,single
30,used up,mostly kosher,socially,,working on space camp,asian,66,20000,student,,straight,likes dogs and likes cats,other and laughing about it,m,taurus but it doesn&rsquo;t matter,sometimes,"english (poorly), chinese (poorly)",single
28,fit,,socially,,graduated from college/university,white,72,-1,,,straight,,,m,aries but it doesn&rsquo;t matter,no,english,single
26,average,mostly anything,socially,never,working on college/university,,63,-1,hospitality / travel,,straight,likes dogs and likes cats,other and laughing about it,f,aquarius and it&rsquo;s fun to think about,trying to quit,"english, spanish",single
41,fit,,rarely,never,graduated from college/university,hispanic / latin,67,-1,political / government,,straight,likes dogs and likes cats,catholicism but not too serious about it,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",single
31,a little extra,,,never,graduated from college/university,white,67,-1,education / academia,,straight,,catholicism but not too serious about it,f,leo and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly), french (poorly)",single
27,thin,,rarely,never,,white,73,20000,student,doesn&rsquo;t have kids,straight,has dogs,,m,pisces but it doesn&rsquo;t matter,trying to quit,english,single
39,fit,mostly anything,socially,never,graduated from college/university,white,66,-1,artistic / musical / writer,"doesn&rsquo;t have kids, but might want them",straight,,agnosticism,f,aquarius but it doesn&rsquo;t matter,no,english,single
24,a little extra,,socially,never,graduated from college/university,white,70,-1,other,"doesn&rsquo;t have kids, but wants them",straight,likes dogs and has cats,,f,aquarius but it doesn&rsquo;t matter,no,english,single
32,fit,anything,socially,sometimes,graduated from college/university,"asian, white, other",67,-1,artistic / musical / writer,,straight,,agnosticism and laughing about it,f,libra and it&rsquo;s fun to think about,no,"english, japanese",available
24,average,,socially,never,working on college/university,asian,66,-1,sales / marketing / biz dev,doesn&rsquo;t want kids,straight,has dogs and likes cats,agnosticism and very serious about it,f,scorpio and it&rsquo;s fun to think about,when drinking,english,available
29,,,socially,never,graduated from college/university,asian,67,-1,,doesn&rsquo;t have kids,straight,,christianity,f,scorpio and it&rsquo;s fun to think about,no,"english, chinese",single
40,curvy,,socially,sometimes,graduated from college/university,white,68,80000,medicine / health,has a kid,straight,,agnosticism,f,cancer and it&rsquo;s fun to think about,sometimes,"english (fluently), german (okay)",single
25,fit,,,,graduated from college/university,white,63,-1,,,gay,,,f,virgo and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single
46,full figured,mostly vegetarian,socially,never,,white,63,-1,artistic / musical / writer,"has a kid, but doesn&rsquo;t want more",bisexual,has dogs and has cats,buddhism but not too serious about it,f,cancer and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single
32,thin,mostly vegetarian,rarely,never,graduated from masters program,white,64,-1,sales / marketing / biz dev,doesn&rsquo;t have kids,straight,likes cats,,f,aries and it&rsquo;s fun to think about,no,english (fluently),single
33,fit,strictly anything,socially,,graduated from college/university,white,66,50000,education / academia,"doesn&rsquo;t have kids, but might want them",straight,,judaism but not too serious about it,f,aries and it&rsquo;s fun to think about,no,"english, spanish",single
47,fit,mostly anything,socially,never,graduated from college/university,white,72,50000,sales / marketing / biz dev,,straight,likes dogs and likes cats,christianity but not too serious about it,m,libra but it doesn&rsquo;t matter,no,english (fluently),single
40,curvy,,rarely,,,white,67,-1,,doesn&rsquo;t have kids,straight,likes dogs and has cats,,f,libra and it&rsquo;s fun to think about,no,english,single
34,average,,rarely,never,,white,60,-1,clerical / administrative,,bisexual,has dogs and has cats,other,f,capricorn and it&rsquo;s fun to think about,no,english,single
43,fit,mostly anything,socially,,graduated from college/university,hispanic / latin,64,-1,other,doesn&rsquo;t have kids,straight,,other,f,scorpio and it&rsquo;s fun to think about,no,"english (fluently), spanish (fluently)",single
29,thin,mostly anything,socially,,,white,75,-1,,doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism,m,leo,no,english,single
26,fit,mostly vegetarian,socially,,graduated from law school,,67,-1,law / legal services,,straight,likes dogs and likes cats,,f,cancer and it&rsquo;s fun to think about,sometimes,"english, spanish",single
39,average,mostly anything,socially,never,graduated from masters program,,68,-1,computer / hardware / software,has a kid,straight,has dogs,,m,gemini,no,"english (fluently), chinese (fluently)",single
30,curvy,,often,sometimes,graduated from college/university,,65,20000,education / academia,,straight,,agnosticism but not too serious about it,f,gemini and it&rsquo;s fun to think about,no,english,single
26,skinny,mostly vegetarian,socially,sometimes,graduated from masters program,white,64,-1,education / academia,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and has cats,agnosticism and laughing about it,f,libra but it doesn&rsquo;t matter,no,english (fluently),single
50,average,,rarely,never,graduated from masters program,white,69,-1,education / academia,,gay,likes dogs,judaism but not too serious about it,m,capricorn and it&rsquo;s fun to think about,no,english,single
20,average,mostly anything,often,often,working on college/university,"pacific islander, white",71,-1,hospitality / travel,,straight,,agnosticism and somewhat serious about it,m,virgo but it doesn&rsquo;t matter,sometimes,"english (fluently), french (poorly)",single
44,average,,socially,never,graduated from high school,white,69,20000,sales / marketing / biz dev,has kids,straight,likes dogs and likes cats,other and laughing about it,m,gemini but it doesn&rsquo;t matter,trying to quit,english (fluently),single
32,athletic,anything,,never,graduated from college/university,white,74,-1,executive / management,"doesn&rsquo;t have kids, but wants them",straight,likes dogs,,m,capricorn,no,english,single
48,full figured,mostly other,rarely,never,,white,68,-1,clerical / administrative,,straight,has dogs and has cats,other and somewhat serious about it,f,aquarius,no,english (fluently),single
28,average,anything,socially,,working on masters program,white,65,-1,construction / craftsmanship,,straight,,,f,capricorn,no,"english (fluently), romanian (fluently), french (okay), italian (okay)",single
25,curvy,mostly vegetarian,socially,never,graduated from college/university,white,66,-1,student,,straight,has dogs and likes cats,,f,taurus but it doesn&rsquo;t matter,when drinking,"english (fluently), german (fluently)",single
31,,,,,graduated from college/university,white,68,-1,artistic / musical / writer,,straight,,,f,,,english,single
24,average,mostly anything,socially,never,graduated from college/university,white,63,-1,banking / financial / real estate,,straight,likes dogs and likes cats,,f,aries but it doesn&rsquo;t matter,no,english (fluently),single
21,skinny,strictly vegetarian,socially,sometimes,graduated from two-year college,"hispanic / latin, white",62,-1,medicine / health,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,atheism,f,cancer but it doesn&rsquo;t matter,when drinking,english,single
28,thin,strictly anything,often,never,graduated from ph.d program,white,73,40000,science / tech / engineering,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and likes cats,atheism and laughing about it,m,taurus but it doesn&rsquo;t matter,trying to quit,"english (fluently), spanish (poorly)",single
24,average,strictly anything,often,sometimes,working on college/university,white,59,-1,other,doesn&rsquo;t want kids,straight,has cats,,f,aquarius but it doesn&rsquo;t matter,yes,english,single
34,average,strictly anything,socially,never,graduated from college/university,asian,61,-1,hospitality / travel,,straight,has dogs and likes cats,other,f,libra and it&rsquo;s fun to think about,no,"english (fluently), japanese (fluently), spanish (poorly)",single
28,,,,,graduated from college/university,white,72,-1,political / government,,gay,likes dogs and likes cats,judaism,m,pisces,no,"english (poorly), french (okay)",single
30,fit,,socially,never,,,67,-1,,,straight,,,f,,no,english,seeing someone
61,average,,not at all,never,graduated from college/university,white,66,-1,education / academia,,straight,,other,f,libra,no,english,single
38,fit,,socially,never,graduated from masters program,white,67,80000,education / academia,,straight,,catholicism,f,aquarius,no,english,single
48,athletic,,socially,never,graduated from college/university,white,69,-1,executive / management,doesn&rsquo;t want kids,gay,likes dogs,agnosticism but not too serious about it,m,aries and it&rsquo;s fun to think about,no,english,single
23,fit,strictly vegetarian,socially,never,working on college/university,white,73,-1,student,might want kids,straight,likes cats,atheism and laughing about it,m,gemini but it doesn&rsquo;t matter,no,english (fluently),single
45,overweight,mostly anything,often,,dropped out of college/university,white,69,-1,banking / financial / real estate,doesn&rsquo;t have kids,straight,likes dogs and has cats,agnosticism,f,virgo,no,english,single
28,overweight,,socially,,graduated from masters program,white,71,-1,political / government,,straight,likes dogs and has cats,atheism,m,gemini,no,"english (fluently), japanese (okay), german (poorly), chinese (poorly)",single
35,,strictly vegetarian,rarely,,graduated from college/university,,62,-1,artistic / musical / writer,doesn&rsquo;t want kids,bisexual,likes dogs and has cats,atheism and very serious about it,f,aquarius but it doesn&rsquo;t matter,no,"english (fluently), sign language (okay)",available
27,fit,mostly vegetarian,rarely,never,working on masters program,white,76,60000,education / academia,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and has cats,agnosticism but not too serious about it,m,sagittarius but it doesn&rsquo;t matter,no,"english, spanish",single
25,average,anything,often,never,graduated from two-year college,,63,-1,,,bisexual,has dogs and likes cats,,f,sagittarius but it doesn&rsquo;t matter,yes,"english, spanish (poorly)",single
24,,,socially,,dropped out of space camp,other,66,-1,other,,bisexual,likes dogs and likes cats,other and somewhat serious about it,f,scorpio and it&rsquo;s fun to think about,trying to quit,"english (okay), spanish (poorly), other (fluently)",single
24,average,mostly anything,socially,sometimes,graduated from college/university,white,66,20000,political / government,doesn&rsquo;t want kids,bisexual,has cats,atheism and laughing about it,f,capricorn,no,"english (fluently), spanish (poorly)",single
30,average,vegetarian,often,,graduated from college/university,white,67,-1,other,,straight,,agnosticism and laughing about it,f,taurus and it&rsquo;s fun to think about,when drinking,"english (okay), french (poorly), spanish (poorly)",single
34,athletic,mostly anything,socially,never,graduated from masters program,white,72,-1,hospitality / travel,,straight,likes dogs,judaism,m,libra but it doesn&rsquo;t matter,no,"english (fluently), japanese (fluently), spanish (fluently), italian (okay)",single
26,average,vegetarian,socially,,,hispanic / latin,65,-1,,,straight,has cats,,f,pisces,,"english, spanish",single
31,a little extra,mostly vegetarian,rarely,never,working on masters program,,59,-1,science / tech / engineering,,bisexual,has dogs and has cats,,f,virgo and it&rsquo;s fun to think about,no,"english (fluently), german (okay), hebrew (poorly)",married
32,thin,,socially,never,graduated from college/university,white,74,-1,sales / marketing / biz dev,,straight,,judaism and laughing about it,m,leo and it&rsquo;s fun to think about,no,"english (poorly), french (okay), swedish (poorly)",single
43,fit,,socially,,graduated from college/university,white,72,-1,entertainment / media,,straight,has cats,agnosticism but not too serious about it,m,taurus but it doesn&rsquo;t matter,,english,single
41,average,mostly anything,not at all,never,working on masters program,white,68,-1,science / tech / engineering,"doesn&rsquo;t have kids, but might want them",straight,likes dogs and has cats,other and very serious about it,f,aries and it&rsquo;s fun to think about,no,english,single
37,,,rarely,sometimes,graduated from college/university,white,68,-1,other,,straight,likes dogs and likes cats,other but not too serious about it,m,cancer and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly), latin (poorly)",available
21,athletic,mostly other,socially,sometimes,working on two-year college,white,71,-1,sales / marketing / biz dev,"doesn&rsquo;t have kids, but might want them",straight,has dogs and likes cats,atheism,m,,no,english (fluently),single
29,,,socially,never,graduated from masters program,middle eastern,73,-1,banking / financial / real estate,,straight,likes dogs,agnosticism,m,,no,english,seeing someone
28,average,mostly anything,socially,never,working on college/university,white,75,-1,executive / management,might want kids,gay,has dogs,agnosticism and laughing about it,m,virgo and it&rsquo;s fun to think about,no,english,single
37,,,socially,,graduated from masters program,white,72,-1,student,,straight,likes dogs,agnosticism and laughing about it,m,taurus but it doesn&rsquo;t matter,no,"english (fluently), german (poorly)",single
25,thin,,often,,dropped out of college/university,white,73,-1,computer / hardware / software,doesn&rsquo;t want kids,gay,,agnosticism but not too serious about it,m,pisces,no,english (okay),single
22,average,mostly kosher,socially,sometimes,working on college/university,white,67,-1,student,,gay,has dogs and likes cats,atheism but not too serious about it,f,scorpio and it&rsquo;s fun to think about,sometimes,english,single
19,fit,mostly anything,socially,,working on college/university,"black, other",68,20000,student,"doesn&rsquo;t have kids, but might want them",straight,likes cats,agnosticism but not too serious about it,m,sagittarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single
52,average,,socially,never,graduated from masters program,white,64,-1,medicine / health,,straight,has dogs,,f,pisces but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)",single
29,athletic,mostly vegetarian,socially,,working on masters program,white,69,-1,artistic / musical / writer,,straight,,atheism and somewhat serious about it,m,aquarius but it doesn&rsquo;t matter,no,"english, italian (poorly), spanish (poorly)",single
