EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_IMMIGRATION_CATEGORY-COMPONENT	FR_CATÉGORIE_D'IMMIGRATION-COMPOSANTE	TOTAL
2021	Q2	Apr	2021	T2	avr.	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	--
2026	Q2	Apr	2026	T2	avr.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	190
2025	Q4	Nov	2025	T4	nov.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	--
2018	Q1	Jan	2018	T1	janv.	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	510
2018	Q2	Apr	2018	T2	avr.	Yukon	Yukon	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2021	Q4	Nov	2021	T4	nov.	Northwest Territories	Territoires du Nord-Ouest	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2024	Q1	Jan	2024	T1	janv.	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	45
2018	Q1	Feb	2018	T1	fév.	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	130
2016	Q3	Sep	2016	T3	sept.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	5
2023	Q3	Jul	2023	T3	juil.	Yukon	Yukon	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2025	Q1	Feb	2025	T1	fév.	Ontario	Ontario	Provincial Nominee Program	Candidats des provinces ou des territoires	1790
2022	Q4	Dec	2022	T4	déc.	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	160
2015	Q3	Sep	2015	T3	sept.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	75
2018	Q4	Nov	2018	T4	nov.	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	5
2022	Q4	Dec	2022	T4	déc.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	5
2025	Q2	May	2025	T2	mai	Northwest Territories	Territoires du Nord-Ouest	Skilled Worker	Travailleurs qualifiés	--
2024	Q3	Jul	2024	T3	juil.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	405
2022	Q4	Dec	2022	T4	déc.	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	390
2024	Q1	Feb	2024	T1	fév.	British Columbia	Colombie-Britannique	Skilled Trade	Métiers spécialisés	--
2016	Q2	Apr	2016	T2	avr.	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	--
2023	Q2	May	2023	T2	mai	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	2750
2024	Q4	Oct	2024	T4	oct.	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	480
2016	Q4	Nov	2016	T4	nov.	New Brunswick	Nouveau-Brunswick	Skilled Worker	Travailleurs qualifiés	--
2020	Q4	Nov	2020	T4	nov.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	30
2016	Q3	Aug	2016	T3	août	Ontario	Ontario	Skilled Trade	Métiers spécialisés	10
2025	Q2	Jun	2025	T2	juin	Ontario	Ontario	Provincial Nominee Program	Candidats des provinces ou des territoires	1690
2016	Q2	Apr	2016	T2	avr.	New Brunswick	Nouveau-Brunswick	Skilled Worker	Travailleurs qualifiés	--
2016	Q4	Dec	2016	T4	déc.	Saskatchewan	Saskatchewan	Skilled Worker	Travailleurs qualifiés	--
2017	Q1	Feb	2017	T1	fév.	Prince Edward Island	Île-du-Prince-Édouard	Canadian Experience	Catégorie de l’expérience canadienne	--
2022	Q2	May	2022	T2	mai	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	40
2020	Q4	Dec	2020	T4	déc.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	5
2021	Q3	Sep	2021	T3	sept.	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	10
2026	Q2	May	2026	T2	mai	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	385
2022	Q2	Jun	2022	T2	juin	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	30
2025	Q4	Dec	2025	T4	déc.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Provincial Nominee Program	Candidats des provinces ou des territoires	35
2017	Q2	May	2017	T2	mai	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	10
2024	Q1	Feb	2024	T1	fév.	Alberta	Alberta	Skilled Trade	Métiers spécialisés	--
2024	Q2	Apr	2024	T2	avr.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	510
2016	Q1	Mar	2016	T1	mars	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	--
2021	Q4	Oct	2021	T4	oct.	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	140
2025	Q4	Oct	2025	T4	oct.	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	45
2017	Q1	Mar	2017	T1	mars	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	--
2022	Q3	Jul	2022	T3	juil.	British Columbia	Colombie-Britannique	Skilled Trade	Métiers spécialisés	50
2020	Q3	Jul	2020	T3	juil.	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	10
2021	Q2	Jun	2021	T2	juin	Nunavut	Nunavut	Skilled Trade	Métiers spécialisés	--
2022	Q2	May	2022	T2	mai	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	505
2018	Q4	Nov	2018	T4	nov.	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	1945
2020	Q2	Apr	2020	T2	avr.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	--
2022	Q3	Jul	2022	T3	juil.	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	--
2019	Q1	Mar	2019	T1	mars	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	475
2021	Q3	Sep	2021	T3	sept.	Alberta	Alberta	Canadian Experience	Catégorie de l’expérience canadienne	965
2018	Q4	Nov	2018	T4	nov.	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	25
2026	Q1	Mar	2026	T1	mars	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	--
2020	Q1	Feb	2020	T1	fév.	Ontario	Ontario	Skilled Trade	Métiers spécialisés	30
2020	Q4	Dec	2020	T4	déc.	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	--
2019	Q2	May	2019	T2	mai	Ontario	Ontario	Skilled Trade	Métiers spécialisés	10
2022	Q2	Jun	2022	T2	juin	Alberta	Alberta	Canadian Experience	Catégorie de l’expérience canadienne	125
2020	Q1	Jan	2020	T1	janv.	Nunavut	Nunavut	Skilled Worker	Travailleurs qualifiés	--
2017	Q3	Sep	2017	T3	sept.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2018	Q1	Mar	2018	T1	mars	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	55
2020	Q4	Oct	2020	T4	oct.	Alberta	Alberta	Skilled Trade	Métiers spécialisés	5
2023	Q1	Jan	2023	T1	janv.	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	15
2016	Q4	Nov	2016	T4	nov.	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	70
2021	Q3	Jul	2021	T3	juil.	Yukon	Yukon	Skilled Worker	Travailleurs qualifiés	5
2023	Q3	Aug	2023	T3	août	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	25
2019	Q4	Dec	2019	T4	déc.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	380
2017	Q3	Aug	2017	T3	août	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	15
2018	Q3	Sep	2018	T3	sept.	Prince Edward Island	Île-du-Prince-Édouard	Canadian Experience	Catégorie de l’expérience canadienne	--
2018	Q4	Dec	2018	T4	déc.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	260
2026	Q2	May	2026	T2	mai	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	180
2025	Q4	Dec	2025	T4	déc.	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	80
2018	Q1	Feb	2018	T1	fév.	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2016	Q1	Jan	2016	T1	janv.	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	5
2016	Q4	Dec	2016	T4	déc.	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	455
2017	Q4	Nov	2017	T4	nov.	Ontario	Ontario	Provincial Nominee Program	Candidats des provinces ou des territoires	445
2020	Q1	Mar	2020	T1	mars	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	305
2020	Q3	Sep	2020	T3	sept.	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	15
2025	Q3	Jul	2025	T3	juil.	Prince Edward Island	Île-du-Prince-Édouard	Canadian Experience	Catégorie de l’expérience canadienne	--
2019	Q2	Jun	2019	T2	juin	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	30
2017	Q1	Feb	2017	T1	fév.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	--
2020	Q4	Oct	2020	T4	oct.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	45
2025	Q1	Feb	2025	T1	fév.	British Columbia	Colombie-Britannique	Skilled Trade	Métiers spécialisés	--
2017	Q2	May	2017	T2	mai	Alberta	Alberta	Canadian Experience	Catégorie de l’expérience canadienne	435
2018	Q1	Jan	2018	T1	janv.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	310
2020	Q1	Jan	2020	T1	janv.	Yukon	Yukon	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2020	Q4	Oct	2020	T4	oct.	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	640
2021	Q1	Jan	2021	T1	janv.	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	10
2020	Q1	Jan	2020	T1	janv.	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	--
2026	Q2	Apr	2026	T2	avr.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	70
2018	Q1	Feb	2018	T1	fév.	Saskatchewan	Saskatchewan	Skilled Worker	Travailleurs qualifiés	70
2020	Q4	Dec	2020	T4	déc.	Nunavut	Nunavut	Canadian Experience	Catégorie de l’expérience canadienne	--
2015	Q4	Dec	2015	T4	déc.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	10
2018	Q4	Nov	2018	T4	nov.	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	1020
2023	Q1	Jan	2023	T1	janv.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	515
2024	Q4	Dec	2024	T4	déc.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	550
2023	Q1	Jan	2023	T1	janv.	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	325
2021	Q3	Jul	2021	T3	juil.	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	5
2025	Q2	May	2025	T2	mai	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	35
2015	Q4	Nov	2015	T4	nov.	Nova Scotia	Nouvelle-Écosse	Skilled Trade	Métiers spécialisés	--
2016	Q3	Jul	2016	T3	juil.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	245
2026	Q1	Jan	2026	T1	janv.	Yukon	Yukon	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2024	Q2	Jun	2024	T2	juin	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	--
2021	Q2	Apr	2021	T2	avr.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	55
2021	Q3	Jul	2021	T3	juil.	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	5
2018	Q2	Jun	2018	T2	juin	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	25
2016	Q3	Jul	2016	T3	juil.	Ontario	Ontario	Provincial Nominee Program	Candidats des provinces ou des territoires	210
2025	Q1	Jan	2025	T1	janv.	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	20
2021	Q3	Jul	2021	T3	juil.	Alberta	Alberta	Skilled Trade	Métiers spécialisés	--
2016	Q4	Nov	2016	T4	nov.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	5
2022	Q2	Apr	2022	T2	avr.	Prince Edward Island	Île-du-Prince-Édouard	Skilled Worker	Travailleurs qualifiés	5
2023	Q2	May	2023	T2	mai	Prince Edward Island	Île-du-Prince-Édouard	Skilled Worker	Travailleurs qualifiés	5
2022	Q3	Jul	2022	T3	juil.	Northwest Territories	Territoires du Nord-Ouest	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2018	Q3	Aug	2018	T3	août	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	25
2016	Q2	Jun	2016	T2	juin	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Trade	Métiers spécialisés	--
2019	Q2	Jun	2019	T2	juin	New Brunswick	Nouveau-Brunswick	Skilled Worker	Travailleurs qualifiés	20
2022	Q3	Aug	2022	T3	août	Yukon	Yukon	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2026	Q1	Feb	2026	T1	fév.	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	175
2022	Q4	Nov	2022	T4	nov.	Yukon	Yukon	Canadian Experience	Catégorie de l’expérience canadienne	--
2025	Q1	Mar	2025	T1	mars	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	--
2022	Q3	Jul	2022	T3	juil.	Yukon	Yukon	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2017	Q4	Dec	2017	T4	déc.	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	450
2018	Q2	May	2018	T2	mai	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	20
2017	Q2	May	2017	T2	mai	Ontario	Ontario	Skilled Trade	Métiers spécialisés	20
2018	Q3	Jul	2018	T3	juil.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Worker	Travailleurs qualifiés	10
2026	Q1	Jan	2026	T1	janv.	Nunavut	Nunavut	Skilled Worker	Travailleurs qualifiés	5
2017	Q3	Sep	2017	T3	sept.	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	10
2019	Q3	Aug	2019	T3	août	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	45
2022	Q3	Sep	2022	T3	sept.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	15
2016	Q1	Mar	2016	T1	mars	Nova Scotia	Nouvelle-Écosse	Provincial Nominee Program	Candidats des provinces ou des territoires	130
2017	Q3	Aug	2017	T3	août	Alberta	Alberta	Skilled Trade	Métiers spécialisés	25
2019	Q2	May	2019	T2	mai	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	25
2024	Q3	Sep	2024	T3	sept.	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	15
2023	Q2	Apr	2023	T2	avr.	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	5
2022	Q4	Oct	2022	T4	oct.	British Columbia	Colombie-Britannique	Skilled Trade	Métiers spécialisés	10
2018	Q4	Nov	2018	T4	nov.	Prince Edward Island	Île-du-Prince-Édouard	Canadian Experience	Catégorie de l’expérience canadienne	--
2022	Q1	Jan	2022	T1	janv.	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	80
2016	Q3	Sep	2016	T3	sept.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	5
2017	Q1	Jan	2017	T1	janv.	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	5
2016	Q1	Jan	2016	T1	janv.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	240
2015	Q3	Sep	2015	T3	sept.	Ontario	Ontario	Skilled Trade	Métiers spécialisés	35
2025	Q3	Aug	2025	T3	août	Prince Edward Island	Île-du-Prince-Édouard	Canadian Experience	Catégorie de l’expérience canadienne	10
2023	Q4	Nov	2023	T4	nov.	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	--
2026	Q3	Jul	2026	T3	juil.	Nunavut	Nunavut	Skilled Worker	Travailleurs qualifiés	10
2025	Q3	Aug	2025	T3	août	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	105
2020	Q4	Oct	2020	T4	oct.	Prince Edward Island	Île-du-Prince-Édouard	Canadian Experience	Catégorie de l’expérience canadienne	--
2018	Q3	Jul	2018	T3	juil.	British Columbia	Colombie-Britannique	Skilled Trade	Métiers spécialisés	20
2022	Q4	Dec	2022	T4	déc.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	20
2025	Q2	May	2025	T2	mai	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	--
2023	Q2	Jun	2023	T2	juin	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	65
2022	Q3	Aug	2022	T3	août	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	575
2019	Q3	Sep	2019	T3	sept.	Alberta	Alberta	Canadian Experience	Catégorie de l’expérience canadienne	195
2020	Q3	Aug	2020	T3	août	British Columbia	Colombie-Britannique	Canadian Experience	Catégorie de l’expérience canadienne	65
2022	Q4	Dec	2022	T4	déc.	Alberta	Alberta	Canadian Experience	Catégorie de l’expérience canadienne	10
2024	Q4	Oct	2024	T4	oct.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	550
2016	Q2	Apr	2016	T2	avr.	Manitoba	Manitoba	Provincial Nominee Program	Candidats des provinces ou des territoires	20
2018	Q4	Nov	2018	T4	nov.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Worker	Travailleurs qualifiés	5
2019	Q1	Feb	2019	T1	fév.	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	25
2024	Q4	Dec	2024	T4	déc.	Northwest Territories	Territoires du Nord-Ouest	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2026	Q3	Jul	2026	T3	juil.	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	2010
2017	Q1	Feb	2017	T1	fév.	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	145
2019	Q1	Mar	2019	T1	mars	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	80
2024	Q4	Nov	2024	T4	nov.	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	110
2025	Q1	Mar	2025	T1	mars	Saskatchewan	Saskatchewan	Skilled Worker	Travailleurs qualifiés	30
2021	Q4	Dec	2021	T4	déc.	Northwest Territories	Territoires du Nord-Ouest	Canadian Experience	Catégorie de l’expérience canadienne	--
2023	Q2	Apr	2023	T2	avr.	Ontario	Ontario	Provincial Nominee Program	Candidats des provinces ou des territoires	1155
2020	Q1	Jan	2020	T1	janv.	Manitoba	Manitoba	Canadian Experience	Catégorie de l’expérience canadienne	60
2018	Q3	Jul	2018	T3	juil.	Prince Edward Island	Île-du-Prince-Édouard	Canadian Experience	Catégorie de l’expérience canadienne	--
2016	Q3	Sep	2016	T3	sept.	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	340
2021	Q4	Oct	2021	T4	oct.	Nova Scotia	Nouvelle-Écosse	Canadian Experience	Catégorie de l’expérience canadienne	225
2017	Q2	May	2017	T2	mai	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	105
2024	Q4	Oct	2024	T4	oct.	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	10
2025	Q3	Jul	2025	T3	juil.	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	570
2021	Q2	May	2021	T2	mai	Prince Edward Island	Île-du-Prince-Édouard	Canadian Experience	Catégorie de l’expérience canadienne	10
2020	Q2	May	2020	T2	mai	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	150
2020	Q1	Mar	2020	T1	mars	New Brunswick	Nouveau-Brunswick	Skilled Worker	Travailleurs qualifiés	25
2025	Q3	Aug	2025	T3	août	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Provincial Nominee Program	Candidats des provinces ou des territoires	20
2022	Q1	Mar	2022	T1	mars	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	335
2025	Q1	Feb	2025	T1	fév.	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	250
2015	Q3	Sep	2015	T3	sept.	Manitoba	Manitoba	Skilled Worker	Travailleurs qualifiés	--
2023	Q2	Jun	2023	T2	juin	Northwest Territories	Territoires du Nord-Ouest	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2016	Q4	Nov	2016	T4	nov.	British Columbia	Colombie-Britannique	Skilled Trade	Métiers spécialisés	30
2016	Q3	Jul	2016	T3	juil.	Northwest Territories	Territoires du Nord-Ouest	Provincial Nominee Program	Candidats des provinces ou des territoires	--
2025	Q4	Dec	2025	T4	déc.	Yukon	Yukon	Skilled Worker	Travailleurs qualifiés	5
2018	Q2	May	2018	T2	mai	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	40
2017	Q1	Mar	2017	T1	mars	Alberta	Alberta	Skilled Trade	Métiers spécialisés	135
2018	Q2	Apr	2018	T2	avr.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	15
2025	Q2	Apr	2025	T2	avr.	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	1970
2021	Q4	Nov	2021	T4	nov.	Prince Edward Island	Île-du-Prince-Édouard	Provincial Nominee Program	Candidats des provinces ou des territoires	30
2017	Q3	Sep	2017	T3	sept.	Saskatchewan	Saskatchewan	Provincial Nominee Program	Candidats des provinces ou des territoires	200
2025	Q2	Apr	2025	T2	avr.	Nunavut	Nunavut	Canadian Experience	Catégorie de l’expérience canadienne	--
2022	Q2	May	2022	T2	mai	New Brunswick	Nouveau-Brunswick	Skilled Worker	Travailleurs qualifiés	15
2017	Q3	Sep	2017	T3	sept.	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	10
2024	Q2	Apr	2024	T2	avr.	Alberta	Alberta	Canadian Experience	Catégorie de l’expérience canadienne	340
2018	Q1	Mar	2018	T1	mars	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	35
2020	Q1	Feb	2020	T1	fév.	Alberta	Alberta	Canadian Experience	Catégorie de l’expérience canadienne	200
2024	Q3	Sep	2024	T3	sept.	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	15
2015	Q3	Sep	2015	T3	sept.	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	115
2017	Q4	Dec	2017	T4	déc.	Ontario	Ontario	Skilled Trade	Métiers spécialisés	10
2021	Q3	Sep	2021	T3	sept.	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	70
2024	Q1	Jan	2024	T1	janv.	Alberta	Alberta	Canadian Experience	Catégorie de l’expérience canadienne	400
2019	Q3	Sep	2019	T3	sept.	Ontario	Ontario	Provincial Nominee Program	Candidats des provinces ou des territoires	515
2025	Q4	Nov	2025	T4	nov.	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	80
2016	Q3	Sep	2016	T3	sept.	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	15
2017	Q4	Nov	2017	T4	nov.	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	280
2019	Q3	Aug	2019	T3	août	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Canadian Experience	Catégorie de l’expérience canadienne	15
2016	Q1	Jan	2016	T1	janv.	New Brunswick	Nouveau-Brunswick	Canadian Experience	Catégorie de l’expérience canadienne	--
2018	Q1	Feb	2018	T1	fév.	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	520
2019	Q1	Feb	2019	T1	fév.	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	25
2021	Q3	Jul	2021	T3	juil.	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	280
2025	Q2	Jun	2025	T2	juin	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Skilled Worker	Travailleurs qualifiés	--
2021	Q1	Mar	2021	T1	mars	Nova Scotia	Nouvelle-Écosse	Skilled Worker	Travailleurs qualifiés	--
2016	Q4	Dec	2016	T4	déc.	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	495
2017	Q1	Jan	2017	T1	janv.	British Columbia	Colombie-Britannique	Skilled Trade	Métiers spécialisés	105
2015	Q4	Oct	2015	T4	oct.	British Columbia	Colombie-Britannique	Skilled Worker	Travailleurs qualifiés	55
2018	Q1	Jan	2018	T1	janv.	Nova Scotia	Nouvelle-Écosse	Skilled Trade	Métiers spécialisés	--
2023	Q3	Sep	2023	T3	sept.	Saskatchewan	Saskatchewan	Canadian Experience	Catégorie de l’expérience canadienne	10
2018	Q1	Jan	2018	T1	janv.	British Columbia	Colombie-Britannique	Canadian Experience	Catégorie de l’expérience canadienne	960
2019	Q2	May	2019	T2	mai	Alberta	Alberta	Provincial Nominee Program	Candidats des provinces ou des territoires	30
2020	Q2	Apr	2020	T2	avr.	Saskatchewan	Saskatchewan	Skilled Worker	Travailleurs qualifiés	10
2022	Q2	Apr	2022	T2	avr.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	345
2017	Q4	Oct	2017	T4	oct.	Ontario	Ontario	Canadian Experience	Catégorie de l’expérience canadienne	2485
2019	Q1	Jan	2019	T1	janv.	Ontario	Ontario	Skilled Worker	Travailleurs qualifiés	1660
2026	Q1	Feb	2026	T1	fév.	Alberta	Alberta	Skilled Worker	Travailleurs qualifiés	305
2019	Q4	Oct	2019	T4	oct.	New Brunswick	Nouveau-Brunswick	Provincial Nominee Program	Candidats des provinces ou des territoires	105
2022	Q4	Oct	2022	T4	oct.	British Columbia	Colombie-Britannique	Provincial Nominee Program	Candidats des provinces ou des territoires	415
